url,companyName
http://gohaney.com/,Haney Truck Line LLC 
http://www.iltrucking.org/,Illinois Trucking Association
https://www.loves.com/,Love’s Travel Stops and Country Stores
,
http://www.mstrucking.org/,Mississippi Trucking Association
http://napftds.org/,National Association of Publicly Funded Truck Driving Schools
,
https://www.pilotflyingj.com/,Pilot Flying J
http://www.combinedtransport.com/,"Combined Transport, Inc."
,
https://www.siriusxm.com/roaddogtrucking,Road Dog Trucking News
http://www.k-ltd.com/,"K-Limited Carrier, Ltd. "
http://www.threepointsinsurance.com/,"Three Points Insurance Group, LLC"
http://www.freightway.ca/,Freightway Logistics
https://www.nada.org/ATD/,American Truck Dealers
https://vigillo.com/,"Vigillo, LLC"
http://www.fvtc.edu/,Fox Valley Technical College
http://www.dana.com/,Dana Holding Corporation
http://www.ritrucking.org/,"Rhode Island Trucking Association, Inc. "
http://www.cummins.com/,Cummins Inc.
http://www.gptruck.com/,G&P Trucking
http://www.trucking.org/TAEC_Council.aspx,TAEC Region IV
,
http://www.totalms.com/,"Total Transportation of MS, LLC"
http://www.dawsoncompanies.com/transportation-insurance,Dawson Companies
http://www.hollandregional.com/,"USF Holland, Inc."
http://cmiamerica.com/,"California MultiModal, Inc. (CMI) "
http://www.bentonandparker.com/,Benton and Parker Company Inc.
,
http://www.ooida.com/,"Owner Operator Independent Drivers Association, Inc. "
http://www.trimac.com/page/Home,"Trimac Transportation Services, Inc."
http://www.iowamotortruck.com/,Iowa Motor Truck Association 
http://tennanttrucklines.com/,"Tennant Truck Lines, Inc. "
https://www.jetcodelivery.com/,"Jetco Delivery, Inc. "
,
http://www.wytruck.org/,Wyoming Trucking Association
http://www.conversionia.com/,Conversion Interactive Agency
http://www.stieginsurance.com/,"Steig & Associates Insurance
"
https://tcaingauge.com/,inGauge
,
http://www.erbgroup.com/,The Erb Group of Companies
http://www.carbonexpress.com/,"Carbon Express, Inc."
http://www.odfl.com/Home/,"Old Dominion Freight Line, Inc. "
https://www.facebook.com/CBWilsonTransport/,C.B. Wilson Transport and Truck Repair LLC
https://corporate.goodyear.com/en-US/,The Goodyear Tire & Rubber Company
http://www.pdco.com/,Pete Dawson Company
http://www.titantransferinc.com/,"Titan Transfer, Inc."
http://www.davenemo.com/,The Dave Nemo Show
http://www.helpinc.us/,"HELP, Inc."
,
http://www.mcstrucks.com/,"Motor Carrier Service, Inc."
https://www.midspec.com/,"Midwest Specialized Transportation, Inc."
http://www.randallreilly.com/portfolio-item/commercial-carrier-journal/,Randall-Reilly & The Commercial Carrier Journal
http://www.donhummertrucking.com/,"Don Hummer Trucking Corporation
"
http://www.trucking.org/,American Trucking Associations
https://www.gatewayhealthplan.com/,Gateway Health
http://www.arizonatrucking.com,Arizona Trucking Association
,
http://www.nytrucks.org/,Trucking Association of New York
http://www.covenanttransport.com/,Covenant Transport 
http://www.jdrcc.org/,John D. Rockefeller IV Career Center
,
http://www.excargo.com/,Excargo Services Inc.
http://www.load1.com/,"Load One, LLC."
,
http://www.bendix.com/en/,"Bendix Commercial Vehicle Systems, LLC"
https://kansasmotorcarriersassociation.wildapricot.org/,"Kansas Motor Carriers Association
"
https://www.alcoa.com/com_transport/en/home.asp,Alcoa Wheel & Transportation Products
https://www.wctc.edu/,Waukesha County Technical College
https://garnertrucking.com/,Garner Transportation Group
http://mbienergyservices.com/,"MBI Energy Services
"
http://www.envistacorp.com/,"enVista, LLC"
https://commercial.bmoharris.com/industry-expertise/transportation-finance/,BMO Transportation Finance 
http://www.ta-petro.com/,TA-Petro
http://www.bobitbusinessmedia.com/,Heavy Duty Trucking/Bobit Business Media 
http://www.cmca.com/,Colorado Motor Carriers Association
http://www.velociti.com/,"Velociti, Inc."
http://www.robertsperryman.com/,"Roberts Perryman, P.C.
"
http://www.uslegalservices.net/,"U.S. Legal Services, Inc."
http://www.ttnews.com/index.aspx,Transport Topics
http://weinrichtruckline.com/,Weinrich Truck Lines
